"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP"
"212","Zemgus Girgensons","BUF","L","80","894.6","9","5","1","4","14","66.67"
"235","Brock McGinn","ANA, PIT","L","75","791.35","9","5","2","3","14","60.87"
"272","Adam Erne","DET","L","61","699.86666666667","6","8","4","4","14","70.00"
"303","Tomas Nosek","BOS","L","66","639.76666666667","4","10","5","5","14","70.00"
"332","Jake Walman","DET","D","63","1007.55","8","6","2","4","14","32.56"
"341","Oskar Lindblom","S.J","L","73","679.45","6","8","3","5","14","60.87"
"347","Jake Middleton","MIN","D","79","1284.2","3","11","5","6","14","30.43"
"354","Colin White","FLA","C","68","607.33333333333","7","7","5","2","14","58.33"
"365","Evgeny Svechnikov","S.J","L","59","604.53333333333","8","6","5","1","14","53.85"
"382","Thomas Chabot","OTT","D","68","1335.2166666667","4","10","4","6","14","21.54"
"387","Denis Gurianov","DAL, MTL","R","66","769.56666666667","6","8","7","1","14","60.87"
"416","Wade Allison","PHI","R","60","748.85","9","5","1","4","14","60.87"
"418","Ryan Lindgren","NYR","D","63","1020.6666666667","0","14","9","5","14","28.57"
"420","Julien Gauthier","NYR, OTT","R","57","483.9","9","5","3","2","14","73.68"
"438","Boris Katchouk","CHI","L","58","606.7","5","9","6","3","14","77.78"
"447","Nathan Bastian","N.J","R","43","429.56666666667","6","8","4","4","14","87.50"
"452","Troy Stecher","ARI, CGY","D","81","1120.1","3","11","7","4","14","42.42"
"459","Michael Pezzetta","MTL","L","63","553.15","7","7","7","0","14","53.85"
"462","Michael Eyssimont","S.J, T.B, WPG","C","54","613.15","5","9","4","5","14","50.00"
"467","Zach Aston-Reese","TOR","C","77","764.4","10","4","2","2","14","66.67"
"469","Mason Shaw","MIN","C","59","563.93333333333","6","8","3","5","14","87.50"
"483","Adam Ruzicka","CGY","C","44","429.55","4","10","6","4","14","77.78"
"533","Martin Fehervary","WSH","D","67","1180.8","4","10","5","5","14","31.11"
"549","Rasmus Kupari","L.A","C","66","584.66666666667","3","11","7","4","14","63.64"
"552","Liam Foudy","CBJ","C","62","670.8","7","7","6","1","14","73.68"
"568","Jesse Ylonen","MTL","R","37","445.01666666667","5","9","3","6","14","93.33"
"585","Cam York","PHI","D","54","900.55","2","12","7","5","14","36.84"
"610","Jake Sanderson","OTT","D","77","1174.35","2","12","7","5","14","30.43"
"621","Nils Aman","VAN","C","68","760.91666666667","4","10","5","5","14","70.00"
"36","Derick Brassard","OTT","C","62","612.08333333333","8","5","4","1","13","54.17"
"46","Pat Maroon","T.B","L","80","814.95","5","8","4","4","13","59.09"
"59","Nick Holden","OTT","D","65","884.68333333333","2","11","5","6","13","41.94"
"76","TJ Brodie","TOR","D","58","1015.7333333333","2","11","3","8","13","29.55"
"163","Nick Seeler","PHI","D","77","1030.2","4","9","6","3","13","31.71"
"164","Sean Kuraly","CBJ","C","71","870.46666666667","6","7","5","2","13","56.52"
"233","Teddy Blueger","PIT, VGK","C","63","662.46666666667","3","10","8","2","13","68.42"
"247","Nate Schmidt","WPG","D","71","1069.4166666667","4","9","4","5","13","36.11"
"346","Jake Evans","MTL","C","54","607.13333333333","0","13","11","2","13","68.42"
"371","Brandon Carlo","BOS","D","75","1130.25","2","11","6","5","13","22.03"
"390","John Marino","N.J","D","64","1084.1666666667","1","12","10","2","13","29.55"
"406","Vladislav Gavrikov","CBJ, L.A","D","72","1262.3333333333","3","10","6","4","13","29.55"
"457","Axel Jonsson-Fjallby","WPG","L","50","470.13333333333","6","7","3","4","13","81.25"
"464","Mathieu Olivier","CBJ","R","66","720.6","5","8","6","2","13","61.90"
"468","Gavin Bayreuther","CBJ","D","51","741.03333333333","2","11","4","7","13","52.00"
"496","Henri Jokiharju","BUF","D","60","1095.0833333333","3","10","3","7","13","24.07"
"499","Timothy Liljegren","TOR","D","67","1026.9","5","8","4","4","13","26.00"
"505","Erik Brannstrom","OTT","D","74","985.83333333333","2","11","5","6","13","33.33"
"556","Adam Boqvist","CBJ","D","46","677.91666666667","5","8","4","4","13","39.39"
"564","Connor Dewar","MIN","C","81","736.61666666667","3","10","5","5","13","76.47"
"571","Rafael Harvey-Pinard","MTL","L","34","453.2","8","5","3","2","13","48.15"
"580","Bowen Byram","COL","D","42","790.56666666667","5","8","6","2","13","39.39"
"6","Corey Perry","T.B","R","81","762.4","6","6","4","2","12","52.17"
"66","Tyler Myers","VAN","D","78","1399.1166666667","1","11","6","5","12","21.43"
"94","Calvin de Haan","CAR","D","53","682.03333333333","2","10","4","6","12","40.00"
"99","Brayden McNabb","VGK","D","82","1408.4","1","11","6","5","12","20.00"
"152","Brendan Gallagher","MTL","R","37","442.45","8","4","4","0","12","63.16"
"174","Brett Ritchie","ARI, CGY","R","50","488.51666666667","8","4","1","3","12","66.67"
"213","Cody Ceci","EDM","D","80","1318.6666666667","1","11","4","7","12","21.82"
"326","Nicolas Aube-Kubel","TOR, WSH","R","53","587.06666666667","4","8","3","5","12","57.14"
"361","Erik Cernak","T.B","D","70","1088.9166666667","1","11","5","6","12","26.09"
"375","Ethan Bear","VAN","D","61","979.06666666667","2","10","5","5","12","29.27"
"383","Mathieu Joseph","OTT","R","56","594.8","0","12","8","4","12","46.15"
"407","Mason Appleton","WPG","C","41","538.85","3","9","4","5","12","57.14"
"410","Jalen Chatfield","CAR","D","78","1019.8","5","7","4","3","12","24.49"
"431","Brett Howden","VGK","C","54","654.46666666667","5","7","4","3","12","54.55"
"531","Zach Whitecloud","VGK","D","59","904.73333333333","5","7","4","3","12","30.00"
"558","Nils Lundkvist","DAL","D","60","866.38333333333","4","8","4","4","12","33.33"
"602","Cole Smith","NSH","L","69","717.95","3","9","8","1","12","66.67"
"613","Justin Barron","MTL","D","39","559.85","2","10","5","5","12","41.38"
"15","Alexander Edler","L.A","D","64","843.85","2","9","5","4","11","28.21"
"69","John Carlson","WSH","D","40","664.55","3","8","5","3","11","34.38"
"111","Nicolas Deslauriers","PHI","L","80","735.5","5","6","1","5","11","61.11"
"129","Jon Merrill","MIN","D","73","1007.2833333333","2","9","5","4","11","30.56"
"142","Erik Gudbranson","CBJ","D","70","1283.3166666667","1","10","4","6","11","27.50"
"159","Josh Archibald","PIT","R","62","505.06666666667","5","6","2","4","11","52.38"
"190","Joel Armia","MTL","R","43","496.36666666667","5","6","3","3","11","91.67"
"214","Tom Wilson","WSH","R","33","430.08333333333","5","6","4","2","11","55.00"
"285","Rasmus Ristolainen","PHI","D","74","1150.5666666667","1","10","4","6","11","25.58"
"298","Jordan Oesterle","DET","D","52","788.83333333333","2","9","3","6","11","44.00"
"299","Patrick Brown","OTT, PHI","C","61","605.16666666667","3","8","4","4","11","57.89"
"302","Pierre-Edouard Bellemare","T.B","L","73","650.71666666667","4","7","6","1","11","61.11"
"363","A.J. Greer","BOS","L","61","542.5","4","7","4","3","11","52.38"
"376","Caleb Jones","CHI","D","73","1204.3666666667","2","9","4","5","11","25.00"
"454","Rem Pitlick","MTL","C","46","515.9","3","8","6","2","11","78.57"
"477","Jaret Anderson-Dolan","L.A","C","46","456.21666666667","7","4","2","2","11","61.11"
"526","Sean Walker","L.A","D","70","921.66666666667","3","8","5","3","11","27.50"
"527","Mark Kastelic","OTT","C","65","525.66666666667","7","4","2","2","11","64.71"
"563","Ilya Lyubushkin","BUF","D","68","865.86666666667","1","10","4","6","11","35.48"
"601","Drew O'Connor","PIT","L","46","421.35","5","6","3","3","11","73.33"
"32","Cal Clutterbuck","NYI","R","49","500.16666666667","5","5","2","3","10","55.56"
"48","Sam Gagner","WPG","C","48","495.35","6","4","3","1","10","58.82"
"57","Alec Martinez","VGK","D","77","1285.8","1","9","3","6","10","15.87"
"73","Derek Stepan","CAR","C","73","607.46666666667","5","5","4","1","10","45.45"
"120","Chris Tanev","CGY","D","65","1061.9","1","9","4","5","10","22.22"
"134","Derek Forbort","BOS","D","54","764.78333333333","3","7","5","2","10","31.25"
"158","Josh Manson","COL","D","27","407.81666666667","2","8","6","2","10","43.48"
"178","Scott Harrington","ANA, S.J","D","45","700.81666666667","3","7","3","4","10","30.30"
"187","Jonas Brodin","MIN","D","60","1067.1333333333","2","8","1","7","10","23.81"
