Player,Cap_Hit
292. Justin Schultz,"$3,000,000"
293. Andreas Athanasiou,"$3,000,000"
294. Max Domi,"$3,000,000"
295. Ian Cole,"$3,000,000"
296. Jordan Greenway,"$3,000,000"
297. Travis Hamonic,"$3,000,000"
298. Derek Forbort,"$3,000,000"
299. Ryan Lindgren,"$3,000,000"
300. Scott Laughton,"$3,000,000"
301. Dylan DeMelo,"$3,000,000"
302. Mathieu Joseph,"$2,950,000"
303. Erik Cernak,"$2,950,000"
304. Denis Gurianov,"$2,900,000"
305. Jake Allen,"$2,875,000"
306. Colton Sissons,"$2,857,143"
307. Brayden McNabb,"$2,850,000"
308. Robert Thomas,"$2,800,000"
309. Jordan Kyrou,"$2,800,000"
310. Vladislav Gavrikov,"$2,800,000"
311. Jan Rutta,"$2,750,000"
312. Brett Kulak,"$2,750,000"
313. Ilya Lyubushkin,"$2,750,000"
314. Zach Whitecloud,"$2,750,000"
315. Warren Foegele,"$2,750,000"
316. Brock McGinn,"$2,750,000"
317. Chandler Stephenson,"$2,750,000"
318. Carson Soucy,"$2,750,000"
319. Oskar Sundqvist,"$2,750,000"
320. Karel Vejmelka,"$2,725,000"
321. Gustav Forsling,"$2,666,667"
322. Jason Dickinson,"$2,650,000"
323. Sean Walker,"$2,650,000"
324. Adam Boqvist,"$2,600,000"
325. Alexander Romanov,"$2,500,000"
326. Patrice Bergeron,"$2,500,000"
327. Dominik Kubalik,"$2,500,000"
328. Oskar Lindblom,"$2,500,000"
329. Vladislav Namestnikov,"$2,500,000"
330. Alexander Barabanov,"$2,500,000"
331. Henri Jokiharju,"$2,500,000"
332. Casey Mittelstadt,"$2,500,000"
333. Casey Cizikas,"$2,500,000"
334. Nick Ritchie,"$2,500,000"
335. Sean Kuraly,"$2,500,000"
336. Patrik Nemeth,"$2,500,000"
337. Artem Zub,"$2,500,000"
338. Radko Gudas,"$2,500,000"
339. Nick Jensen,"$2,500,000"
340. Jake Middleton,"$2,450,000"
341. Dante Fabbro,"$2,400,000"
342. Erik Haula,"$2,375,000"
343. Dillon Dubé,"$2,300,000"
344. Filip Chytil,"$2,300,000"
345. Nicolas Hague,"$2,294,150"
346. Pierre Engvall,"$2,250,000"
347. Olli Määttä,"$2,250,000"
348. Ivan Barbashev,"$2,250,000"
349. Dmitry Kulikov,"$2,250,000"
350. James Reimer,"$2,250,000"
351. Radim Simek,"$2,250,000"
352. Ethan Bear,"$2,200,000"
353. Teddy Blueger,"$2,200,000"
354. Zemgus Girgensons,"$2,200,000"
355. Mason Appleton,"$2,166,667"
356. Kaapo Kakko,"$2,100,000"
357. Calle Järnkrok,"$2,100,000"
358. Adam Erne,"$2,100,000"
359. Nick Bonino,"$2,050,000"
360. Maxime Comtois,"$2,037,500"
361. Evan Rodrigues,"$2,000,000"
362. Martin Jones,"$2,000,000"
363. Nico Sturm,"$2,000,000"
364. Jérémy Lauzon,"$2,000,000"
365. Alex Goligoski,"$2,000,000"
366. Yegor Sharangovich,"$2,000,000"
367. Tyson Jost,"$2,000,000"
368. Jesper Fast,"$2,000,000"
369. Justin Holl,"$2,000,000"
370. Niko Mikkola,"$1,900,000"
371. Trevor Moore,"$1,875,000"
372. Colin Miller,"$1,850,000"
373. Jacob Bryson,"$1,850,000"
374. Isac Lundeström,"$1,800,000"
375. Ilya Samsonov,"$1,800,000"
376. Jordan Martinook,"$1,800,000"
377. Barrett Hayton,"$1,775,000"
378. Nicolas Deslauriers,"$1,750,000"
379. Cal Clutterbuck,"$1,750,000"
380. Travis Boyd,"$1,750,000"
381. Ryan Reaves,"$1,750,000"
382. Tomas Nosek,"$1,750,000"
383. Sean Durzi,"$1,700,000"
384. Yakov Trenin,"$1,700,000"
385. Jake Evans,"$1,700,000"
386. Ryan Hartman,"$1,700,000"
387. Blake Lizotte,"$1,675,000"
388. Eric Robinson,"$1,600,000"
389. Juuso Välimäki,"$1,550,000"
390. Samuel Blais,"$1,525,000"
391. Phil Kessel,"$1,500,000"
392. Paul Stastny,"$1,500,000"
393. Owen Tippett,"$1,500,000"
394. Brett Howden,"$1,500,000"
395. Eetu Luostarinen,"$1,500,000"
396. Brandon Hagel,"$1,500,000"
397. Jani Hakanpää,"$1,500,000"
398. David Kämpf,"$1,500,000"
399. Luke Glendening,"$1,500,000"
400. Conor Sheary,"$1,500,000"
401. Matt Martin,"$1,500,000"
402. Derek Grant,"$1,500,000"
403. Austin Watson,"$1,500,000"
404. Garnet Hathaway,"$1,500,000"
405. Michael Rasmussen,"$1,460,000"
406. Eeli Tolvanen,"$1,450,000"
407. Troy Terry,"$1,450,000"
408. Scott Mayfield,"$1,450,000"
409. Rasmus Sandin,"$1,400,000"
410. Keegan Kolesar,"$1,400,000"
411. Morgan Geekie,"$1,400,000"
412. Timothy Liljegren,"$1,400,000"
413. Tage Thompson,"$1,400,000"
414. William Carrier,"$1,400,000"
415. Tyler Motte,"$1,350,000"
416. Caleb Jones,"$1,350,000"
417. Brendan Lemieux,"$1,350,000"
418. Jordan Oesterle,"$1,350,000"
419. Riley Stillman,"$1,350,000"
420. Carl Grundström,"$1,300,000"
421. Nick Holden,"$1,300,000"
422. Nic Dowd,"$1,300,000"
423. Max Jones,"$1,295,000"
424. Joshua Brown,"$1,275,000"
425. Mattias Janmark,"$1,250,000"
426. Matthew Benning,"$1,250,000"
427. Noel Acciari,"$1,250,000"
428. Troy Stecher,"$1,250,000"
429. Andrew Cogliano,"$1,250,000"
430. Derek Ryan,"$1,250,000"
431. Ryan Donato,"$1,200,000"
432. Colin Blackwell,"$1,200,000"
433. Colin White,"$1,200,000"
434. Jon Merrill,"$1,200,000"
435. Frédérick Gaudreau,"$1,200,000"
436. Sam Lafferty,"$1,150,000"
437. Christian Fischer,"$1,125,875"
438. Ross Colton,"$1,125,000"
439. Jonas Siegenthaler,"$1,125,000"
440. Rem Pitlick,"$1,100,000"
441. Marcus Johansson,"$1,100,000"
442. Nick Cousins,"$1,100,000"
443. Brendan Smith,"$1,100,000"
444. Jake Walman,"$1,050,000"
445. Steven Lorentz,"$1,050,000"
