"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP"
"459","Steven Lorentz","CAR","C","67","692.93333333333","8","5","2","3","13","56.52"
"468","Ryan Lindgren","NYR","D","78","1333.2833333333","2","11","6","5","13","24.53"
"489","Jonathan Dahlen","S.J","C","61","705.25","8","5","4","1","13","56.52"
"523","Justin Danforth","CBJ","R","45","515.96666666667","10","3","2","1","13","61.90"
"524","Zach Aston-Reese","ANA, PIT","C, L","69","779.91666666667","3","10","6","4","13","50.00"
"549","Henri Jokiharju","BUF","D","60","1084.3166666667","2","11","6","5","13","30.23"
"608","Bowen Byram","COL","D","30","506.53333333333","3","10","5","5","13","46.43"
"639","Yegor Chinakhov","CBJ","R","62","677.68333333333","6","7","5","2","13","56.52"
"1","Zdeno Chara","NYI","D","72","1187.8","2","10","6","4","12","24.49"
"37","Ryan Reaves","NYR","R","69","723.66666666667","4","8","3","5","12","75.00"
"42","Nick Foligno","BOS","L","64","680.35","2","10","6","4","12","85.71"
"76","Jake Muzzin","TOR","D","47","802.78333333333","3","9","3","6","12","34.29"
"78","Carl Hagelin","WSH","L","53","638.5","2","10","4","6","12","57.14"
"114","Alex Chiasson","VAN","R","67","639.23333333333","7","5","4","1","12","44.44"
"178","Mark Pysyk","BUF","D","68","1047.6833333333","3","9","3","6","12","34.29"
"202","Mike Reilly","BOS","D","70","1160.0833333333","3","9","5","4","12","26.09"
"232","Luke Glendening","DAL","C","82","923.63333333333","9","3","1","2","12","63.16"
"260","Jimmy Vesey","N.J","L","68","802.95","5","7","3","4","12","60.00"
"380","Sam Lafferty","CHI, PIT","C, R","56","628.21666666667","5","7","6","1","12","66.67"
"400","Jonas Siegenthaler","N.J","D","70","1228.9333333333","1","11","4","7","12","22.64"
"418","Brandon Carlo","BOS","D","79","1273.7333333333","5","7","4","3","12","26.09"
"453","Dominik Simon","ANA, PIT","C","72","703.91666666667","3","9","6","3","12","46.15"
"456","Adam Gaudette","CHI, OTT","C","58","582.05","3","9","5","4","12","75.00"
"485","Andrew Peeke","CBJ","D","82","1447.5666666667","0","12","4","8","12","23.08"
"491","Logan Stanley","WPG","D","58","755.26666666667","1","11","5","6","12","46.15"
"515","Maxim Mamin","FLA","C","40","466.38333333333","5","7","4","3","12","48.00"
"528","Mario Ferraro","S.J","D","63","1188.15","2","10","3","7","12","27.27"
"564","Gustav Lindstrom","DET","D","63","917.68333333333","1","11","3","8","12","37.50"
"595","Rasmus Sandin","TOR","D","51","765.75","4","8","4","4","12","31.58"
"598","Ilya Lyubushkin","ARI, TOR","D","77","1164.4666666667","1","11","5","6","12","27.27"
"31","Andrew Cogliano","COL, S.J","C","74","779.26666666667","2","9","4","5","11","50.00"
"36","Darren Helm","COL","C","68","575.78333333333","6","5","2","3","11","68.75"
"45","Trevor Lewis","CGY","C","80","863.45","2","9","3","6","11","40.74"
"47","Cal Clutterbuck","NYI","R","59","683.58333333333","3","8","0","8","11","78.57"
"140","Nicolas Deslauriers","ANA, MIN","L","81","809.55","6","5","3","2","11","61.11"
"164","Nick Bjugstad","MIN","C","57","563.56666666667","6","5","2","3","11","57.89"
"169","Austin Watson","OTT","L","67","695.45","7","4","4","0","11","61.11"
"198","Adam Lowry","WPG","C, L","79","941.06666666667","8","3","2","1","11","57.89"
"271","Erik Gustafsson","CHI","D","59","789.76666666667","2","9","6","3","11","32.35"
"306","Michael McCarron","NSH","R","51","463.63333333333","6","5","3","2","11","55.00"
"312","Laurent Dauphin","MTL","C","38","445.71666666667","3","8","4","4","11","61.11"
"385","Dysin Mayo","ARI","D","67","1168.3","4","7","2","5","11","28.95"
"393","Matthew Highmore","VAN","C","46","518.48333333333","4","7","3","4","11","61.11"
"451","Niko Mikkola","STL","D","54","811.13333333333","2","9","6","3","11","29.73"
"544","MacKenzie Entwistle","CHI","R","55","516.6","4","7","4","3","11","73.33"
"606","Peyton Krebs","BUF, VGK","C","57","690.86666666667","7","4","4","0","11","52.38"
"640","Janis Moser","ARI","D","43","656.46666666667","3","8","5","3","11","33.33"
"40","Andy Greene","NYI","D","69","1044.6666666667","2","8","5","3","10","27.03"
"90","Michael Del Zotto","OTT","D","26","411.61666666667","2","8","3","5","10","43.48"
"96","Travis Hamonic","OTT, VAN","D","43","710.25","4","6","2","4","10","34.48"
"223","Connor Murphy","CHI","D","57","1046.5333333333","4","6","2","4","10","27.78"
"227","Colin Miller","BUF","D","38","605.31666666667","2","8","4","4","10","35.71"
